Question	Question Category	Continent	Urban / Rural	Education	D_INTERVIEW
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	642070615
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	643071326
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	528070146
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	20070536
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	300070007
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	703070255
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	300070314
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	528071879
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	528071583
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	528071289
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	528071466
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	909070272
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	643071096
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	826070080
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	528070067
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	826071321
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	703070855
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	203070238
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	643071088
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	703070427
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	643070115
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	51070657
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	642070779
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	703071091
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	196070168
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	300070753
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	300071071
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	826070951
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	826072405
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	528071813
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	196070652
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	300070874
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	196070429
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	826071121
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	703070894
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	642070088
Q1	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	804070731
Q1	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	68070314
Q1	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	170070471
Q1	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	604070672
Q1	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	604071126
Q1	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	862070546
Q1	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	76071347
Q1	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	68070981
Q1	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	862070472
Q1	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	76070417
Q1	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	68071935
Q1	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	170078462
Q1	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	32070028
Q1	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	68071817
Q1	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	170073538
Q1	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	170078920
Q1	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	32070430
Q1	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	68070399
Q1	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	152070494
Q1	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	170075035
Q1	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	170070054
Q1	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	152070923
Q1	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	218070541
Q1	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	170074579
Q1	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	218070048
Q1	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	218070214
Q1	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	76070188
Q1	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	604071100
Q1	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	604071101
Q1	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	604070426
Q1	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	218070602
Q1	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	218070839
Q1	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	68071684
Q1	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	68070641
Q1	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	76070256
Q1	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	68071692
Q1	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	604071105
Q1	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	68071744
Q1	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	604070891
Q1	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	218070529
Q1	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	604070835
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Upper to Post Secondary	434070894
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Upper to Post Secondary	434071049
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Upper to Post Secondary	404070329
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Upper to Post Secondary	404071070
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Upper to Post Secondary	788070482
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Primary or No Education	566070467
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Primary or No Education	434070636
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Primary or No Education	818070511
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Primary or No Education	818070258
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Primary or No Education	788070954
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Tertiary	434070491
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Tertiary	716070619
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Tertiary	434070280
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Tertiary	434070539
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Tertiary	404070015
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Lower Secondary	818070183
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Lower Secondary	504070329
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Lower Secondary	716071183
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Lower Secondary	788070378
Q1	Social Values, Norms, Stereotypes	Africa	Urban	Lower Secondary	434070172
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Upper to Post Secondary	788071119
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Upper to Post Secondary	434070705
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Upper to Post Secondary	566070091
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Upper to Post Secondary	788070416
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Upper to Post Secondary	818070603
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	788071187
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	818071042
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	818070237
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	231070458
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	231070731
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Tertiary	434071072
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Tertiary	788070975
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Tertiary	434070079
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Tertiary	404070964
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Tertiary	404070746
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Lower Secondary	716070587
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Lower Secondary	434070229
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Lower Secondary	716070968
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Lower Secondary	716071213
Q1	Social Values, Norms, Stereotypes	Africa	Rural	Lower Secondary	566070687
Q1	Social Values, Norms, Stereotypes	North America	Urban	Upper to Post Secondary	630071118
Q1	Social Values, Norms, Stereotypes	North America	Urban	Upper to Post Secondary	124070696
Q1	Social Values, Norms, Stereotypes	North America	Urban	Upper to Post Secondary	484071250
Q1	Social Values, Norms, Stereotypes	North America	Urban	Upper to Post Secondary	124071478
Q1	Social Values, Norms, Stereotypes	North America	Urban	Upper to Post Secondary	124074829
Q1	Social Values, Norms, Stereotypes	North America	Urban	Primary or No Education	558070334
Q1	Social Values, Norms, Stereotypes	North America	Urban	Primary or No Education	484071177
Q1	Social Values, Norms, Stereotypes	North America	Urban	Primary or No Education	484070301
Q1	Social Values, Norms, Stereotypes	North America	Urban	Primary or No Education	558070151
Q1	Social Values, Norms, Stereotypes	North America	Urban	Primary or No Education	484071011
Q1	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	840072850
Q1	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	484071076
Q1	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	124071008
Q1	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	320070283
Q1	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	124073018
Q1	Social Values, Norms, Stereotypes	North America	Urban	Lower Secondary	630070493
Q1	Social Values, Norms, Stereotypes	North America	Urban	Lower Secondary	630071078
Q1	Social Values, Norms, Stereotypes	North America	Urban	Lower Secondary	558070611
Q1	Social Values, Norms, Stereotypes	North America	Urban	Lower Secondary	558070257
Q1	Social Values, Norms, Stereotypes	North America	Urban	Lower Secondary	558070117
Q1	Social Values, Norms, Stereotypes	North America	Rural	Upper to Post Secondary	124070910
Q1	Social Values, Norms, Stereotypes	North America	Rural	Upper to Post Secondary	124072164
Q1	Social Values, Norms, Stereotypes	North America	Rural	Upper to Post Secondary	124074636
Q1	Social Values, Norms, Stereotypes	North America	Rural	Upper to Post Secondary	484070400
Q1	Social Values, Norms, Stereotypes	North America	Rural	Upper to Post Secondary	558070304
Q1	Social Values, Norms, Stereotypes	North America	Rural	Primary or No Education	484071234
Q1	Social Values, Norms, Stereotypes	North America	Rural	Primary or No Education	320070572
Q1	Social Values, Norms, Stereotypes	North America	Rural	Primary or No Education	320070563
Q1	Social Values, Norms, Stereotypes	North America	Rural	Primary or No Education	558070830
Q1	Social Values, Norms, Stereotypes	North America	Rural	Primary or No Education	484070817
Q1	Social Values, Norms, Stereotypes	North America	Rural	Tertiary	320071184
Q1	Social Values, Norms, Stereotypes	North America	Rural	Tertiary	558070906
Q1	Social Values, Norms, Stereotypes	North America	Rural	Tertiary	484070522
Q1	Social Values, Norms, Stereotypes	North America	Rural	Tertiary	124075236
Q1	Social Values, Norms, Stereotypes	North America	Rural	Tertiary	124070985
Q1	Social Values, Norms, Stereotypes	North America	Rural	Lower Secondary	558070780
Q1	Social Values, Norms, Stereotypes	North America	Rural	Lower Secondary	558070937
Q1	Social Values, Norms, Stereotypes	North America	Rural	Lower Secondary	124074421
Q1	Social Values, Norms, Stereotypes	North America	Rural	Lower Secondary	558070895
Q1	Social Values, Norms, Stereotypes	North America	Rural	Lower Secondary	124071381
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Upper to Post Secondary	554070452
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Upper to Post Secondary	36070791
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Upper to Post Secondary	554070454
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Upper to Post Secondary	36071305
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Upper to Post Secondary	36071068
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Primary or No Education	554070861
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Primary or No Education	36070815
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Primary or No Education	36071455
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Primary or No Education	554070133
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Primary or No Education	36070923
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Tertiary	554070853
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Tertiary	36071114
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Tertiary	36070421
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Tertiary	36071084
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Tertiary	36070148
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Lower Secondary	554070913
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Lower Secondary	554070992
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Lower Secondary	554070205
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Lower Secondary	554070895
Q1	Social Values, Norms, Stereotypes	Oceania	Urban	Lower Secondary	554070506
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Upper to Post Secondary	36070626
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Upper to Post Secondary	36070300
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Upper to Post Secondary	36071598
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Upper to Post Secondary	36070868
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Upper to Post Secondary	554070165
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Tertiary	36071788
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Tertiary	36070621
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Tertiary	36070522
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Tertiary	36070870
Q1	Social Values, Norms, Stereotypes	Oceania	Rural	Tertiary	36071165
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	608070097
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	702070734
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	392070125
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	364072376
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	496070317
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	158070268
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	446070647
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	586070200
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	446070864
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	156070578
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	156070183
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	398071120
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	702071955
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	608070039
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	496070910
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	608070818
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	400070178
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	400070272
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	392071062
Q2	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	608070084
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	764070189
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	704071024
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	156071929
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	458070060
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	360072762
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	586071893
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	586071301
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	50070609
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	764070920
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	360071743
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	792070710
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	496071608
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	360073171
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	586071517
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	704070283
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	156070830
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	417070406
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	156072830
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	360072853
Q2	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	704070643
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	276071027
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	804070259
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	276070835
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	643070796
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	643071493
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	300070160
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	826070674
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	20070536
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	300070188
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Primary or No Education	300070930
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	300070037
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	642070845
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	276070875
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	276070072
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	20070366
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	203071018
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	909070040
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	826071321
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	196070875
Q2	Social Values, Norms, Stereotypes	Europe	Urban	Lower Secondary	909070033
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	51070493
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	804071120
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	688070557
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	642070870
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Upper to Post Secondary	826071950
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	203071144
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	300071078
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	300070753
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	643071007
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Primary or No Education	300070665
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	909070260
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	804070321
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	51070836
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	826070869
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Tertiary	804070443
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	203070948
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	703070414
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	826071121
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	196070706
Q2	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	826070421
Q2	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	32070782
Q2	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	68071202
Q2	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	862070830
Q2	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	68071611
Q2	Social Values, Norms, Stereotypes	South America	Urban	Upper to Post Secondary	68070565
Q2	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	76070165
Q2	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	170070112
Q2	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	68070068
Q2	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	32070456
Q2	Social Values, Norms, Stereotypes	South America	Urban	Primary or No Education	76070693
Q2	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	76070070
Q2	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	862070743
Q2	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	170077383
Q2	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	68071526
Q2	Social Values, Norms, Stereotypes	South America	Urban	Tertiary	170076589
Q2	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	862070448
Q2	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	76071238
Q2	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	76071021
Q2	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	152070494
Q2	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	76071836
Q2	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	218070818
Q2	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	218070728
Q2	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	604070792
Q2	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	32070936
Q2	Social Values, Norms, Stereotypes	South America	Rural	Upper to Post Secondary	68070954
Q2	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	218070815
Q2	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	68070803
Q2	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	152070860
Q2	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	170074454
Q2	Social Values, Norms, Stereotypes	South America	Rural	Primary or No Education	218071176
Q2	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	76070252
Q2	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	68070025
Q2	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	604070889
Q2	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	862070540
Q2	Social Values, Norms, Stereotypes	South America	Rural	Tertiary	76070764
Q2	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	76071787
Q2	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	604070594
Q2	Social Values, Norms, Stereotypes	South America	Rural	Lower Secondary	76071779
